Place,Kool,"Matemaatika","Eesti keel","Inglise keel",Kokku
101,Kiviõli I Keskkool,"31,7","40,5","32,4","104,6"
102,Parksepa Keskkool,"35,5","50,8","17,0","103,3"
103,Luunja Keskkool,"41,1","38,8","22,5","102,4"
104,Loksa Gümnaasium,"38,4","56,0","5,1","99,5"
105,Tartu Herbert Masingu Kool,"24,9","45,0","28,1","98,0"
106,Paldiski Ühis­gümnaasium,"35,6","48,2","12,7","96,5"
107,Kanepi Gümnaasium,"34,4","51,4","9,7","95,5"
108,Rakvere Waldorfkool,"34,6","47,6","12,3","94,5"
109,Iisaku Gümnaasium,"20,6","39,7","34,0","94,3"
110,Tartu Annelinna Gümnaasium,"40,5","40,8","7,5","88,8"
111,Kullamaa Keskkool,"29,6","47,1","11,5","88,2"
112,Maardu Gümnaasium,"31,2","36,6","2,8","70,5"
,,,,,
,,,,,
,,,,,
,,,,,
