Place,Kool,"Matemaatika","Eesti keel","Inglise keel",Kokku
1,Tallinna Reaalkool,"107,8","79,3","84,2","271,3"
2,Tallinna Inglise Kolledž,"93,4","75,2","87,1","255,7"
3,Gustav Adolfi Gümnaasium,"94,5","75,7","85,3","255,6"
4,Pärnu Sütevaka Humanitaar­gümnaasium,"90,2","81,6","78,6","250,4"
5,Hugo Treffneri Gümnaasium,"95,5","77,3","72,2","245,0"
6,Tallinna 21. Kool,"85,6","72,4","81,5","239,6"
7,Tallinna Prantsuse Lütseum,"78,8","78,8","72,1","229,8"
8,Tartu Jaan Poska Gümnaasium,"84,2","75,6","64,6","224,3"
9,EBS Gümnaasium,"82,9","62,1","75,3","220,3"
10,Miina Härma Gümnaasium,"71,7","72,5","71,0","215,1"
11,Pärnu Koidula Gümnaasium,"86,0","66,2","60,2","212,4"
12,Jakob Westholmi Gümnaasium,"79,3","61,9","65,4","206,6"
13,Rocca al Mare Kool,"71,1","67,1","67,6","205,7"
14,Vanalinna Haridus­kolleegium,"67,5","64,6","70,8","202,9"
15,Tartu Tamme Gümnaasium,"77,1","68,2","57,0","202,3"
16,Viimsi Gümnaasium,"72,2","65,2","63,9","201,3"
17,Nõo Reaal­gümnaasium,"101,7","69,8","28,9","200,3"
18,Tallinna Nõmme Gümnaasium,"71,4","61,2","67,7","200,3"
19,Läänemaa Ühis­gümnaasium,"75,3","65,2","56,1","196,6"
20,Saue Riigi­gümnaasium,"75,9","57,7","61,4","195,0"
21,Kiili Gümnaasium,"75,1","59,9","56,5","191,5"
22,Noarootsi Gümnaasium,"61,6","60,8","68,9","191,3"
23,Tallinna Lilleküla Gümnaasium,"69,4","59,1","60,0","188,4"
24,Tallinna Ühis­gümnaasium,"59,0","58,8","69,0","186,7"
25,Jüri Kool,"70,2","59,7","56,3","186,3"
26,Tallinna 32. Keskkool,"60,6","66,3","59,2","186,0"
27,Tallinna Saksa Gümnaasium,"58,4","59,1","65,6","183,1"
28,Tabasalu Gümnaasium,"61,0","59,2","61,5","181,8"
29,Jõgevamaa Gümnaasium,"72,3","62,4","45,6","180,4"
30,Võru Gümnaasium,"73,9","61,1","44,1","179,1"
31,Saku Gümnaasium,"65,1","61,3","50,6","176,9"
32,Saaremaa Gümnaasium,"57,1","63,7","56,0","176,9"
33,Viljandi Gümnaasium,"64,7","65,2","47,0","176,8"
34,Tallinna Järveotsa Gümnaasium,"55,6","57,7","63,3","176,6"
35,Kadrioru Saksa Gümnaasium,"60,8","59,8","55,4","176,0"
36,Tallinna Vaba Waldorfkool,"44,1","67,5","63,9","175,6"
37,Rakvere Riigi­gümnaasium,"56,5","64,3","51,9","172,7"
38,Kuusalu Keskkool,"62,7","53,4","54,3","170,4"
39,Kadrina Keskkool,"54,9","60,0","52,7","167,6"
40,Tartu Katoliku Hariduskeskus,"47,7","59,7","58,6","165,9"
41,Tallinna Õismäe Gümnaasium,"63,2","54,1","48,4","165,8"
42,Kohila Gümnaasium,"62,6","58,9","43,2","164,7"
43,Hiiumaa Gümnaasium,"65,0","57,7","41,7","164,5"
44,Tallinna Kuristiku Gümnaasium,"62,3","54,6","47,4","164,3"
45,Tallinna Tehnika­gümnaasium,"52,4","53,0","57,6","163,0"
46,Toila Gümnaasium,"61,4","51,1","50,5","163,0"
47,Väike-Maarja Gümnaasium,"62,6","57,8","41,6","162,0"
48,Rapla Gümnaasium,"48,3","66,1","46,6","161,0"
49,Audentese Spordi­gümnaasium,"51,7","59,0","49,6","160,3"
50,Keila Kool,"49,6","58,1","52,3","160,0"
51,Põlva Gümnaasium,"55,8","56,3","47,6","159,6"
52,Tallinna Kristiine Gümnaasium,"56,0","49,8","52,6","158,4"
53,Tartu Kristjan Jaak Petersoni Gümnaasium,"52,9","57,4","47,5","157,8"
54,Pirita Majandus­gümnaasium,"49,5","58,0","49,2","156,8"
55,Vinni-Pajusti Gümnaasium,"47,2","58,6","50,7","156,5"
56,Häädemeeste Keskkool,"49,5","65,3","40,0","154,8"
57,August Kitzbergi nimeline Gümnaasium,"49,9","53,4","51,3","154,6"
58,Avinurme Gümnaasium,"56,4","50,5","46,7","153,5"
59,Kohtla-Järve Gümnaasium,"68,8","50,3","33,2","152,3"
60,Vastseliina Gümnaasium,"54,4","58,6","37,3","150,3"
61,Lähte Ühis­gümnaasium,"50,0","59,7","40,2","149,8"
62,Ülenurme Gümnaasium,"58,3","53,7","37,8","149,8"
63,Kose Gümnaasium,"61,9","49,1","38,5","149,6"
64,Tallinna Mustamäe Gümnaasium,"44,6","48,3","56,5","149,4"
65,Pärnu Ühis­gümnaasium,"45,6","53,3","49,2","148,1"
66,Vändra Gümnaasium,"48,3","56,6","41,9","146,8"
67,Audentese Spordi­gümnaasiumi Otepää filiaal,"55,1","53,1","37,2","145,4"
68,Tallinna Laagna Gümnaasium,"59,4","49,8","34,9","144,0"
69,Elva Gümnaasium,"58,2","62,7","22,4","143,3"
70,Paide Gümnaasium,"47,2","54,2","41,5","142,9"
71,Türi Ühis­gümnaasium,"42,2","60,9","38,1","141,2"
72,Loo Keskkool,"46,5","51,0","43,6","141,0"
73,Põltsamaa Ühis­gümnaasium,"42,5","61,0","37,1","140,7"
74,Antsla Gümnaasium,"40,6","52,7","46,2","139,5"
75,Lääneranna Gümnaasium,"42,1","56,1","40,1","138,2"
76,Jõhvi Gümnaasium,"58,0","56,3","23,0","137,3"
77,Pelgulinna Gümnaasium,"34,2","49,7","50,6","134,5"
78,Abja Gümnaasium,"40,4","51,9","40,8","133,1"
79,Kilingi-Nõmme Gümnaasium,"41,4","51,6","39,5","132,5"
80,Tõrva Gümnaasium,"47,3","53,1","31,5","131,8"
81,Tartu Waldorf­gümnaasium,"48,5","61,9","21,1","131,8"
82,Valga Gümnaasium,"57,6","56,8","16,8","131,2"
83,Tapa Valla Gümnaasium,"47,3","54,7","27,2","129,2"
84,Kehra Gümnaasium,"36,5","53,9","38,7","129,1"
85,Otepää Gümnaasium,"52,8","54,8","21,2","128,8"
86,Orissaare Gümnaasium,"55,8","60,1","12,5","128,3"
87,Märjamaa Gümnaasium,"25,3","58,0","42,7","126,0"
88,Tallinna Arte Gümnaasium,"34,9","49,9","39,0","123,8"
89,Suure-Jaani Gümnaasium,"28,1","53,1","42,3","123,5"
90,Tallinna Kunsti­gümnaasium,"31,8","49,1","39,0","119,9"
91,Rõngu Keskkool,"54,6","53,1","11,5","119,1"
92,Sindi Gümnaasium,"40,9","46,4","31,1","118,3"
93,Narva Eesti Gümnaasium,"49,0","49,0","19,5","117,5"
94,Tarvastu Gümnaasium,"45,4","53,5","16,0","114,9"
95,Räpina Ühis­gümnaasium,"27,4","55,0","32,2","114,6"
96,Tamsalu Kool,"34,6","46,7","31,3","112,6"
97,Järva-Jaani Gümnaasium,"36,3","59,3","14,6","110,3"
98,Rakvere Era­gümnaasium,"34,8","42,8","31,3","108,8"
99,Koeru Keskkool,"23,3","49,7","33,3","106,3"
100,Kunda Ühis­gümnaasium,"33,6","60,6","11,3","105,4"
