Place,Kool,"Matemaatika","Eesti keel","Inglise keel",Kokku
75,Tallinna Laagna Gümnaasium,"55,7","60,44","61,01","177,14"
76,Pärnu Ühisgümnaasium,"57,5","42,26","75,20","174,96"
77,Avinurme Gümnaasium,"60,1","39,40","73,96","173,46"
78,Audentese Spordigümnaasium,"57,1","33,71","81,31","172,12"
79,Tapa Gümnaasium,"59,2","42,35","68,40","169,95"
80,Tarvastu Gümnaasium,"59,7","51,38","58,80","169,88"
81,Haapsalu Täiskasvanute Gümnaasium,"57,5","37,80","74,06","169,36"
82,Pirita Majandusgümnaasium,"58,9","36,10","68,98","163,98"
83,Ülenurme Gümnaasium,"57,5","44,59","59,60","161,68"
84,Kilingi-Nõmme Gümnaasium,"60,6","33,48","67,50","161,58"
85,Tallinna Vaba Waldorfkool,"50,3","31,46","79,00","160,76"
86,Kunda Ühisgümnaasium,"61,2","34,00","65,32","160,52"
87,Valga Gümnaasium,"55,3","49,44","55,44","160,18"
88,Kanepi Gümnaasium,"57,6","39,00","63,00","159,60"
89,Antsla Gümnaasium,"60,4","42,30","55,47","158,17"
90,Tallinna Polütehnikum,47,"31,00","77,55","155,55"
91,Aravete Keskkool,46,"45,50","62,67","154,17"
92,Kohila Gümnaasium,"60,3","56,12","36,52","152,94"
93,Lähte Ühisgümnaasium,"60,1","35,71","56,00","151,81"
94,Rõngu Keskkool,"54,3","59,50","36,85","150,65"
95,Pelgulinna Gümnaasium,"50,2","28,60","70,53","149,33"
96,Lihula Gümnaasium,"58,2","43,78","47,19","149,17"
97,August Kitzbergi nimeline Gümnaasium,"53,8","40,05","52,71","146,56"
98,Abja Gümnaasium,"56,4","49,30","39,69","145,39"
99,Jõhvi Gümnaasium,53,"46,81","45,51","145,32"
100,Türi Ühisgümnaasium,"54,6","39,47","49,40","143,47"
101,Rakvere Eragümnaasium,"52,9","30,40","59,77","143,07"
102,Tartu Täiskasvanute Gümnaasium,"57,3","32,68","52,54","142,52"
103,Räpina Ühisgümnaasium,"55,1","32,70","54,00","141,80"
104,Parksepa Keskkool,"54,9","34,18","50,80","139,88"
105,Suure-Jaani Gümnaasium,"52,2","35,85","50,70","138,75"
106,Tallinna Kunstigümnaasium,"41,8","24,24","70,50","136,54"
107,Tallinna Balletikool,"42,5","26,40","67,08","135,98"
108,Kiviõli I Keskkool,"52,2","37,02","46,36","135,58"
109,Tartu Kunstikool,"46,3","18,60","70,53","135,43"
110,Viljandi Kutseõppekeskus,"47,6","24,93","62,67","135,19"
111,Sindi Gümnaasium,"57,1","37,20","40,83","135,13"
112,Audentese Spordigümnaasiumi Otepää filiaal,"55,3","37,80","39,42","132,52"
113,Tallinna Täiskasvanute Gümnaasium,"54,1","25,03","51,75","130,87"
114,Tallinna Vanalinna Täiskasvanute Gümnaasium,"49,1","21,72","58,10","128,92"
115,Olustvere Teenindus- ja Maamajanduskool,"42,5","30,80","55,20","128,50"
116,Kuressaare Täiskasvanute Gümnaasium,"51,8","27,40","48,75","127,95"
117,Tallinna Pääsküla Gümnaasium,"54,4","26,55","46,97","127,92"
118,Luua Metsanduskool,"41,2","22,40","63,00","126,60"
119,Tallinna Tööstushariduskeskus,44,"22,69","56,53","123,21"
120,Võru Täiskasvanute Gümnaasium,"49,2","25,70","47,36","122,26"
121,Tartu Kutsehariduskeskus,"45,2","13,13","62,04","120,37"
122,Pärnumaa Kutsehariduskeskus,"45,8","9,90","64,07","119,77"
123,Tartu Herbert Masingu Kool,"44,3","10,30","63,55","118,15"
124,Vastseliina Gümnaasium,"55,6","26,20","36,14","117,94"
125,Paldiski Ühisgümnaasium,"51,4","46,56","14,52","112,48"
126,Pärnu Täiskasvanute Gümnaasium,"50,7","22,78","38,50","111,98"
127,Kullamaa Keskkool,"47,1","32,90","31,82","111,82"
128,Vana-Vigala Tehnika- ja Teeninduskool,45,"9,40","56,00","110,40"
129,Valga Kaugõppegümnaasium,"50,1","26,80","31,82","108,72"
130,Järva-Jaani Gümnaasium,"53,1","34,40","20,75","108,25"
131,Tallinna Teeninduskool,"42,2","11,10","53,33","106,63"
132,Paide Täiskasvanute Keskkool,49,"27,90","28,67","105,57"
133,Järvamaa Kutsehariduskeskus,"41,2","9,70","54,29","105,19"
134,Rakvere Täiskasvanute Gümnaasium,"52,9","22,30","29,93","105,13"
135,Jõgeva Täiskasvanute Keskkool,"48,9","19,90","28,93","97,73"
136,Viljandi Täiskasvanute Gümnaasium,"44,8","24,28","28,13","97,21"
137,Maardu Gümnaasium,"39,7","38,50","16,91","95,11"
138,Iisaku Gümnaasium,"52,8","30,20","12,00","95,00"
139,Tallinna Ehituskool,"38,5","9,00","35,00","82,50"
140,Rapla Täiskasvanute Gümnaasium,"43,9","15,00","22,72","81,62"
141,Kohtla-Järve Täiskasvanute Gümnaasium,"40,6","19,80","7,95","68,35"
