Place,Kool,"Matemaatika","Eesti keel","Inglise keel",Kokku
1,Tallinna Reaalkool,"81,6","102,70","99,00","283,30"
2,Hugo Treffneri Gümnaasium,"81,4","96,00","98,50","275,90"
3,Tallinna Inglise Kolledž,77,"95,28","100,00","272,28"
4,Gustav Adolfi Gümnaasium,"78,3","90,07","99,50","267,87"
5,Tallinna Prantsuse Lütseum,"78,2","81,97","100,00","260,17"
6,Nõo Reaalgümnaasium,"68,5","94,40","94,50","257,40"
7,Tallinna 21. Kool,"72,3","82,75","101,00","256,05"
8,Pärnu Sütevaka Humanitaargümnaasium,"77,3","80,74","97,02","255,06"
9,Saue Gümnaasium,"72,3","89,27","89,00","250,57"
10,Saaremaa Ühisgümnaasium,"70,5","84,91","95,00","250,41"
11,Miina Härma Gümnaasium,"75,5","75,20","98,01","248,71"
12,Pärnu Koidula Gümnaasium,68,"85,13","95,50","248,63"
13,Tartu Jaan Poska Gümnaasium,"73,3","76,67","97,50","247,47"
14,Vanalinna Hariduskolleegium,"73,3","71,19","98,50","242,99"
15,Kadrioru Saksa Gümnaasium,"71,1","72,73","98,50","242,33"
16,Rocca al Mare Kool,"72,3","68,29","98,00","238,59"
17,EBS Gümnaasium,"61,5","74,72","100,00","236,22"
18,Jakob Westholmi Gümnaasium,"68,6","73,30","93,50","235,40"
19,Kohtla-Järve Järve Gümnaasium,"63,8","91,40","77,74","232,94"
20,Väike-Maarja Gümnaasium,"68,7","65,50","93,50","227,70"
21,Jüri Gümnaasium,"66,7","64,32","95,00","226,02"
22,Kuusalu Keskkool,67,"68,65","89,50","225,15"
23,Jõgevamaa Gümnaasium,"72,1","75,14","77,28","224,52"
24,Viljandi Gümnaasium,"64,1","71,26","87,30","222,66"
25,Tabasalu Ühisgümnaasium,"67,9","58,73","95,50","222,13"
26,Tallinna Lilleküla Gümnaasium,"64,8","62,80","94,00","221,60"
27,Loksa Gümnaasium,"67,6","71,67","82,00","221,27"
28,Vinni-Pajusti Gümnaasium,"68,8","69,19","82,50","220,49"
29,Kadrina Keskkool,"61,8","65,34","93,00","220,14"
30,Võru Gümnaasium,"67,7","63,56","88,20","219,46"
31,Toila Gümnaasium,"57,6","73,73","87,50","218,83"
32,Tallinna Nõmme Gümnaasium,"64,3","60,46","93,00","217,76"
33,Tallinna Muusikakeskkool,72,"44,30","100,00","216,30"
34,Narva Vanalinna Riigikool,49,"81,72","85,50","216,22"
35,Koeru Keskkool,"60,4","72,00","82,00","214,40"
36,Kose Gümnaasium,"66,8","66,43","80,28","213,50"
37,Tartu Tamme Gümnaasium,"66,5","58,58","87,71","212,79"
38,Tallinna Järveotsa Gümnaasium,"59,9","68,47","83,66","212,03"
39,Saku Gümnaasium,"67,4","59,63","84,88","211,90"
40,Kiili Gümnaasium,"57,7","69,97","84,13","211,80"
41,Tallinna Tehnikagümnaasium,"59,9","62,50","87,22","209,62"
42,Tallinna Ühisgümnaasium,64,"55,61","89,67","209,28"
43,Tallinna Saksa Gümnaasium,"69,1","50,84","88,32","208,26"
44,Loo Keskkool,"59,2","58,30","87,00","204,50"
45,Märjamaa Gümnaasium,"72,2","55,70","73,79","201,69"
46,Noarootsi Gümnaasium,"63,7","53,45","83,13","200,28"
47,Tallinna Mustamäe Gümnaasium,"60,9","43,31","96,00","200,21"
48,Tallinna Õismäe Gümnaasium,64,"46,59","89,50","200,09"
49,Tallinna Kuristiku Gümnaasium,"49,6","60,24","89,00","198,84"
50,Tallinna Kristiine Gümnaasium,"57,9","62,49","78,09","198,48"
51,Tamsalu Gümnaasium,"57,2","52,10","89,00","198,30"
52,Rakvere Gümnaasium,"62,8","52,40","83,04","198,24"
53,Läänemaa Ühisgümnaasium,"61,9","63,18","72,80","197,88"
54,Tõrva Gümnaasium,"67,1","53,10","77,43","197,63"
55,Värska Gümnaasium,"64,2","54,30","79,00","197,50"
56,Otepää Gümnaasium,64,"46,90","84,00","194,90"
57,Tallinna 32. Keskkool,"64,1","43,50","86,88","194,48"
58,Põlva Gümnaasium,"61,3","61,54","71,44","194,28"
59,Tartu Waldorfgümnaasium,"62,6","38,23","93,00","193,83"
60,Oskar Lutsu Palamuse Gümnaasium,"61,1","61,66","69,42","192,18"
61,Hiiumaa Gümnaasium,"60,5","51,35","78,12","189,97"
62,Rakvere Reaalgümnaasium,"65,9","48,76","75,20","189,86"
63,Orissaare Gümnaasium,"63,7","64,10","60,72","188,52"
64,Tõstamaa Keskkool,"59,5","34,50","92,50","186,50"
65,Kuressaare Gümnaasium,"59,8","48,27","77,42","185,49"
66,Keila Kool,"63,7","41,49","78,12","183,31"
67,Narva Eesti Gümnaasium,"47,1","54,21","82,00","183,31"
68,Audentese Erakool,"58,8","37,73","84,96","181,49"
69,Tartu Kristjan Jaak Petersoni Gümnaasium,"64,5","38,78","77,55","180,83"
70,Elva Gümnaasium,"58,8","59,01","62,04","179,85"
71,Põltsamaa Ühisgümnaasium,"65,7","45,08","68,71","179,48"
72,Tallinna Arte Gümnaasium,"54,5","36,86","87,50","178,86"
73,Vändra Gümnaasium,"59,9","53,06","65,07","178,03"
74,Luunja Keskkool,52,"47,41","78,00","177,41"
